Provincia,Año,Trimestre,Acesosx100hab,Acesosx100hog,MbpsMediaBajada,Incremento_habitantes,KPI_Habitantes_Cumplido,Incremento_hogar,KPI_Hogar_Cumplido,Incremento_Velocidad,KPI_Velocidad_Cumplido
Buenos Aires,2014,1,16.692346018019,54.5700728794398,3.73313279998293,0.0,0,0.0,0,0.0,0
Buenos Aires,2014,2,16.7949254349917,55.0614169514339,3.85186276004367,0.614529658455254,0,0.9003910863003783,0,3.1804376222909214,0
Buenos Aires,2014,3,17.262998432341,56.754739164071,3.96904699117324,2.786990625002028,1,3.0753335209856125,1,3.0422743080348313,0
Buenos Aires,2014,4,17.0147634301905,56.0943365301975,4.19894350823666,-1.4379599414517164,0,-1.1636079094018092,0,5.792234699530807,0
Buenos Aires,2015,1,17.241393436944,56.3704843302674,4.32380370934677,0.0,0,0.0,0,0.0,0
Buenos Aires,2015,2,17.325662544573,56.8028056143921,4.46349566354801,0.48876042378587226,0,0.7669284542452859,0,3.2307653999016805,0
Buenos Aires,2015,3,17.5478839831824,57.6886810560801,4.70059791427046,1.2826143764355313,1,1.5595628281141583,0,5.312030493471531,0
Buenos Aires,2015,4,17.6833488562859,58.2918218273372,4.88414890585654,0.7719726961571416,0,1.0455097260254176,0,3.904843488715337,0
Buenos Aires,2016,1,17.5350792164395,57.3359078225411,4.99216843748391,0.0,0,0.0,0,0.0,0
Buenos Aires,2016,2,18.0986845682896,59.3385267910581,5.41514436700482,3.214159142900863,1,3.4927832218428545,1,8.472789626747712,1
Buenos Aires,2016,3,18.2953085979519,60.1432954546882,5.91491800816368,1.0863995608100918,1,1.35623296895091,0,9.229184067631602,1
Buenos Aires,2016,4,18.5786407358338,61.2365874303569,6.35154645026031,1.5486600642178772,1,1.8178118897598239,0,7.381817321795547,1
Buenos Aires,2017,1,18.8048550310117,58.5740024492033,6.67848257709171,0.0,0,0.0,0,0.0,0
Buenos Aires,2017,2,18.1041564810005,56.2721441616913,7.19874775188798,-3.7261576803206187,0,-3.929829260870843,0,7.790170428547127,1
Buenos Aires,2017,3,17.9358709735921,55.6293833953396,8.42570621185365,-0.9295407249987675,0,-1.142236138194419,0,17.044054080709813,1
Buenos Aires,2017,4,18.6146492483549,57.6096152902582,12.9720825438982,3.784473448555703,1,3.559686938907336,1,53.9584008477356,1
Buenos Aires,2018,1,20.2796529105795,62.6262116616845,14.1988896446809,0.0,0,0.0,0,0.0,0
Buenos Aires,2018,2,20.3745823244351,62.7822665109499,14.6793755121758,0.46810176818201654,0,0.24918455886879798,0,3.383967898327156,0
Buenos Aires,2018,3,20.9590874010485,64.4405675975205,16.7797351323622,2.868795380960565,1,2.6413526919761177,1,14.308235513453948,1
Buenos Aires,2018,4,21.0588338233985,64.6028466348432,16.9343630101501,0.4759101407488364,0,0.2518274487218308,0,0.9215156053904439,0
Buenos Aires,2019,4,21.1350893819089,64.2520528824542,30.7696941410059,0.0,0,0.0,0,0.0,0
Buenos Aires,2020,1,21.2080810142128,64.3256310174343,45.1812880737555,0.0,0,0.0,0,0.0,0
Buenos Aires,2020,2,21.5528584048363,65.2205801358229,45.6619736321228,1.6256887664303221,1,1.3912791903215593,0,1.063904060421228,0
Buenos Aires,2020,3,22.4100880534403,67.6561898309092,48.3766239081151,3.977336242378149,1,3.734418936498418,1,5.945100616681542,0
Buenos Aires,2020,4,22.9015115325469,68.9770222017074,50.0083808396358,2.1928672387842685,1,1.9522712912141582,0,3.373027714005006,0
